  0.0000000000000000e+00   6.1531089658347405e+50   2.6777484012652416e+55   6.1501357641574729e+50   8.2968491932854581e+46   3.4397992918905833e+47   2.6850000894187410e+55   6.3792991875396047e+52   2.7416738066486133e+53
  1.0000000000000000e+00   6.1972696450871232e+49   4.0875323971527359e+54   6.1797824789212544e+49   1.8621847352174407e+47   7.0315331304675508e+47   4.1929441002231921e+54   9.9214676252053305e+52   4.0976302807634191e+53
  2.0000000000000000e+00   3.8371067069254881e+49   2.7378921621855924e+54   3.8311878396939119e+49   4.1401694884469073e+47   1.6376655096804324e+48   2.9022719865173814e+54   1.5602147411889791e+53   6.4211269985037389e+53
  3.0000000000000000e+00   3.3390132463554118e+49   2.3837719391501563e+54   3.3671039367189047e+49   7.4965465309659225e+47   3.0082457346460414e+48   2.6260287047528171e+54   2.2718094184334999e+53   9.3410027526942159e+53
  4.0000000000000000e+00   3.6166733823830206e+49   2.3956059335800557e+54   3.9257402720564059e+49   1.2877650335278839e+48   5.1953993980505146e+48   2.7840588554806202e+54   3.2657726366369812e+53   1.3412059011744976e+54
  5.0000000000000000e+00   4.7118224700419848e+49   2.6206711419323563e+54   6.6908602063933729e+49   2.1999401191358401e+48   8.9322447891787904e+48   3.4406321958137050e+54   4.8514857567950912e+53   1.9952580763159886e+54
  6.0000000000000000e+00   8.3582360738781781e+49   3.4156645186299665e+54   2.1022642142969590e+50   5.0477930536168044e+47   2.1299761250416871e+49   6.7226164577554746e+54   2.1831873221144673e+53   4.4533389951788789e+54
  7.0000000000000000e+00   1.5050320074461917e+50   5.2540892337615813e+54   4.5558189846527092e+50   8.1029567207521297e+47   2.9814593496180550e+49   1.3094347913091269e+55   2.8058139166303928e+53   5.9235767964497272e+54
  8.0000000000000000e+00   2.5153629173377212e+50   9.2033796155325146e+54   8.3906567577845605e+50   1.2801430145787060e+48   4.0915920173856183e+49   2.7214945026710324e+55   3.6667623385705134e+53   7.6630722453904812e+54
  9.0000000000000000e+00   3.5864151851435341e+50   1.5442924066014025e+55   1.2062872376851684e+51   1.9693904963992966e+48   5.4653515911388332e+49   4.8557914494806853e+55   4.8404623231518334e+53   9.6303008078934259e+54
